,detail_id,transaction_id,item_id,quantity,payment_date,customer_id,customer_name,registration_date,email,gender,age,birth,pref
0,0,T0000000113,S005,1,2019-02-01 01:36:57,PL563502,김태경,2019-01-07 14:34,imoto_yoshimasa@example.com,M,30,1989-07-15,대전광역시
1,1,T0000000114,S001,1,2019-02-01 01:37:23,HD678019,김영웅,2019-01-27 18:00,mifune_rokurou@example.com,M,73,1945-11-29,서울특별시
2,2,T0000000115,S003,1,2019-02-01 02:34:19,HD298120,김강현,2019-01-11 8:16,yamane_kogan@example.com,M,42,1977-05-17,광주광역시
3,3,T0000000116,S005,1,2019-02-01 02:47:23,IK452215,김주한,2019-01-10 5:07,ikeda_natsumi@example.com,F,47,1972-03-17,인천광역시
4,4,T0000000117,S002,2,2019-02-01 04:33:46,PL542865,김영빈,2019-01-25 6:46,kurita_kenichi@example.com,M,74,1944-12-17,광주광역시
5,5,T0000000118,S003,1,2019-02-01 04:36:50,GD372798,김희원,2019-01-24 7:40,fujimura_mitsunori@example.com,M,36,1983-07-18,서울특별시
6,6,T0000000119,S004,1,2019-02-01 05:25:18,IK782104,김상준,2019-01-14 11:46,enomoto_kaoru@example.com,M,58,1960-08-10,대구광역시
7,7,T0000000120,S001,1,2019-02-01 06:22:39,IK624245,김다원,2019-01-16 7:24,ezaki_girolamo@example.com,M,67,1951-08-24,서울특별시
8,8,T0000000121,S005,1,2019-02-01 06:40:14,HD218970,김성훈,2019-01-08 18:22,okada_toshiya@example.com,M,23,1996-06-11,광주광역시
9,9,T0000000122,S002,1,2019-02-01 08:10:23,AS912483,김태우,2019-01-09 9:06,tamayama_masami@example.com,F,22,1997-04-26,인천광역시
10,10,T0000000123,S001,1,2019-02-01 09:32:27,OA336650,김지훈,2019-01-01 15:57,yasuda_naoto@example.com,M,68,1950-08-13,대전광역시
11,11,T0000000124,S003,1,2019-02-01 11:27:33,OA207651,김윤우,2019-01-02 15:56,kanezawa_tomoka@example.com,F,72,1947-03-01,울산광역시
12,12,T0000000125,S004,1,2019-02-01 13:14:47,TS419694,김강윤,2019-01-30 13:53,sugiura_youko@example.com,F,69,1950-07-11,서울특별시
13,13,T0000000126,S002,2,2019-02-01 13:46:10,HD068817,김우빈,2019-01-04 3:01,hori_atsushi@example.com,M,68,1951-05-17,인천광역시
14,14,T0000000127,S002,1,2019-02-01 14:14:13,OA041301,김주안,2019-01-05 23:48,takabata_sanma@example.com,M,32,1986-12-28,광주광역시
15,15,T0000000128,S005,1,2019-02-01 17:20:02,IK234815,김진영,2019-01-15 1:08,watabe_ryou@example.com,M,68,1951-07-27,서울특별시
16,16,T0000000129,S001,1,2019-02-01 18:08:59,TS146087,김세찬,2019-01-29 13:34,jinbo_haruka@example.com,F,48,1970-09-27,인천광역시
17,17,T0000000130,S005,1,2019-02-01 19:44:40,AS614406,김하루,2019-01-22 8:28,kudou_kazuki@example.com,M,26,1993-08-03,서울특별시
18,18,T0000000131,S002,1,2019-02-01 20:00:24,PL964421,김지완,2019-01-05 11:38,furusawa_tohru@example.com,M,29,1990-05-09,대전광역시
19,19,T0000000132,S004,1,2019-02-01 20:36:30,AS642796,김대윤,2019-01-27 1:13,okuda_aiko@example.com,F,42,1976-08-29,대전광역시
20,20,T0000000133,S005,1,2019-02-01 20:51:11,GD648354,김연준,2019-01-08 19:22,kihara_kenichi1@example.com,M,22,1997-01-13,대구광역시
21,21,T0000000134,S001,3,2019-02-01 22:08:51,TS701801,김찬빈,2019-01-22 9:33,umezawa_sayuri@example.com,F,76,1942-09-28,서울특별시
22,22,T0000000135,S001,2,2019-02-01 22:37:32,GD362521,김서율,2019-01-06 19:11,matsuoka_haruki@example.com,F,69,1950-02-01,서울특별시
