,purchase_date,item_name,item_price,customer_name
0,2019-06-13 18:02,상품A,100.0,김가온
1748,2019-05-19 20:22,상품A,100.0,김시훈
223,2019-06-25 8:13,상품A,100.0,김유진
1742,2019-06-13 16:03,상품A,100.0,김건희
1738,2019-02-10 0:28,상품A,100.0,김하랑
1721,2019-02-24 19:18,상품A,100.0,김은우
1708,2019-03-27 17:10,상품A,100.0,김준희
1707,2019-03-25 21:42,상품A,100.0,김주한
234,2019-03-23 9:32,상품A,100.0,김찬우
1684,2019-02-17 20:25,상품A,100.0,김경민
497,2019-02-11 3:54,상품A,100.0,김우진
1761,2019-05-04 14:44,상품A,100.0,김준후
1658,2019-03-23 20:08,상품A,100.0,김은율
1544,2019-01-21 11:49,상품A,100.0,김준호
1513,2019-04-04 18:58,상품A,100.0,김승후
1500,2019-02-28 17:25,상품A,100.0,김라온
1498,2019-01-19 12:15,상품A,100.0,김승현
1481,2019-03-10 3:52,상품A,100.0,김지완
1474,2019-04-11 2:22,상품A,,김선우
274,2019-07-27 1:45,상품A,100.0,김지운
1454,2019-01-16 7:35,상품A,100.0,김강현
1398,2019-06-13 2:20,상품A,100.0,김준서
1394,2019-07-07 21:49,상품A,,김은우
1576,2019-05-06 2:40,상품A,100.0,김은우
211,2019-02-12 2:52,상품A,100.0,김서후
210,2019-07-08 4:17,상품A,100.0,김강현
1835,2019-06-20 12:57,상품A,100.0,김지후
2384,2019-04-27 2:50,상품A,100.0,김현서
117,2019-06-14 9:08,상품A,100.0,김가온
2352,2019-07-28 7:55,상품A,100.0,김승윤
130,2019-07-17 20:28,상품A,100.0,김현서
2297,2019-07-06 16:00,상품A,100.0,김태우
2278,2019-07-14 3:39,상품A,,김시우
2265,2019-05-23 3:08,상품A,100.0,김우진
2254,2019-05-14 21:09,상품A,100.0,김서후
2171,2019-04-28 17:39,상품A,100.0,김연호
2163,2019-05-02 4:38,상품A,100.0,김한결
2126,2019-01-22 17:19,상품A,100.0,김민재
2063,2019-05-25 12:51,상품A,,김재민
2059,2019-04-28 6:16,상품A,100.0,김현준
2039,2019-06-23 3:35,상품A,100.0,김도윤
171,2019-06-25 9:06,상품A,100.0,김주안
2015,2019-03-13 21:36,상품A,100.0,정도형
2002,2019-05-07 14:29,상품A,100.0,김수호
1977,2019-02-28 4:11,상품A,,김서준
1954,2019-01-19 3:37,상품A,100.0,김도훈
1937,2019-02-13 7:28,상품A,,김시환
1902,2019-06-30 21:10,상품A,100.0,김태준
1892,2019-07-31 1:32,상품A,,김윤찬
1863,2019-07-27 6:05,상품A,100.0,김재호
295,2019-01-26 13:30,상품A,100.0,김지환
300,2019-04-06 11:06,상품A,,김태인
1344,2019-04-24 3:12,상품A,100.0,정영훈
1343,2019-03-09 19:11,상품A,100.0,김수민
872,2019-05-16 2:34,상품A,100.0,김주안
867,2019-03-20 2:16,상품A,100.0,김라온
859,2019-07-22 11:53,상품A,100.0,김시훈
411,2019-05-30 17:53,상품A,100.0,김승호
844,2019-03-15 9:14,상품A,,김강현
838,2019-06-24 5:06,상품A,,김시호
817,2019-02-18 9:24,상품A,100.0,김주영
803,2019-04-01 18:01,상품A,100.0,김시훈
801,2019-02-11 22:59,상품A,100.0,김유찬
728,2019-07-24 15:59,상품A,100.0,김태인
706,2019-01-15 21:29,상품A,100.0,김예성
700,2019-04-05 9:21,상품A,100.0,김우준
696,2019-06-09 10:26,상품A,100.0,김유진
678,2019-02-01 2:42,상품A,100.0,김시윤
667,2019-03-16 17:23,상품A,,김주원
642,2019-04-15 12:39,상품A,100.0,김성빈
634,2019-02-23 1:45,상품A,100.0,김지운
612,2019-02-07 15:50,상품A,100.0,김은율
602,2019-04-07 3:51,상품A,100.0,김성현
577,2019-01-29 17:16,상품A,100.0,김하민
568,2019-04-07 9:37,상품A,100.0,김가온
473,2019-04-25 16:55,상품A,100.0,김지오
485,2019-07-14 9:55,상품A,100.0,김재현
877,2019-05-30 15:35,상품A,100.0,김동건
2387,2019-03-09 22:29,상품A,100.0,김우진
878,2019-05-17 12:32,상품A,100.0,김연호
395,2019-05-24 10:19,상품A,100.0,김준성
