,purchase_date,item_name,item_price,customer_name,purchase_month
0,2019-06-13 18:02:00,상품A,100.0,김가온,201906
1748,2019-05-19 20:22:00,상품A,100.0,김시훈,201905
223,2019-06-25 08:13:00,상품A,100.0,김유진,201906
1742,2019-06-13 16:03:00,상품A,100.0,김건희,201906
1738,2019-02-10 00:28:00,상품A,100.0,김하랑,201902
1721,2019-02-24 19:18:00,상품A,100.0,김은우,201902
1708,2019-03-27 17:10:00,상품A,100.0,김준희,201903
1707,2019-03-25 21:42:00,상품A,100.0,김주한,201903
234,2019-03-23 09:32:00,상품A,100.0,김찬우,201903
1684,2019-02-17 20:25:00,상품A,100.0,김경민,201902
497,2019-02-11 03:54:00,상품A,100.0,김우진,201902
1761,2019-05-04 14:44:00,상품A,100.0,김준후,201905
1658,2019-03-23 20:08:00,상품A,100.0,김은율,201903
1544,2019-01-21 11:49:00,상품A,100.0,김준호,201901
1513,2019-04-04 18:58:00,상품A,100.0,김승후,201904
1500,2019-02-28 17:25:00,상품A,100.0,김라온,201902
1498,2019-01-19 12:15:00,상품A,100.0,김승현,201901
1481,2019-03-10 03:52:00,상품A,100.0,김지완,201903
1474,2019-04-11 02:22:00,상품A,100.0,김선우,201904
274,2019-07-27 01:45:00,상품A,100.0,김지운,201907
1454,2019-01-16 07:35:00,상품A,100.0,김강현,201901
1398,2019-06-13 02:20:00,상품A,100.0,김준서,201906
1394,2019-07-07 21:49:00,상품A,100.0,김은우,201907
1576,2019-05-06 02:40:00,상품A,100.0,김은우,201905
211,2019-02-12 02:52:00,상품A,100.0,김서후,201902
210,2019-07-08 04:17:00,상품A,100.0,김강현,201907
1835,2019-06-20 12:57:00,상품A,100.0,김지후,201906
2384,2019-04-27 02:50:00,상품A,100.0,김현서,201904
117,2019-06-14 09:08:00,상품A,100.0,김가온,201906
2352,2019-07-28 07:55:00,상품A,100.0,김승윤,201907
130,2019-07-17 20:28:00,상품A,100.0,김현서,201907
2297,2019-07-06 16:00:00,상품A,100.0,김태우,201907
2278,2019-07-14 03:39:00,상품A,100.0,김시우,201907
2265,2019-05-23 03:08:00,상품A,100.0,김우진,201905
2254,2019-05-14 21:09:00,상품A,100.0,김서후,201905
2171,2019-04-28 17:39:00,상품A,100.0,김연호,201904
2163,2019-05-02 04:38:00,상품A,100.0,김한결,201905
2126,2019-01-22 17:19:00,상품A,100.0,김민재,201901
2063,2019-05-25 12:51:00,상품A,100.0,김재민,201905
2059,2019-04-28 06:16:00,상품A,100.0,김현준,201904
2039,2019-06-23 03:35:00,상품A,100.0,김도윤,201906
171,2019-06-25 09:06:00,상품A,100.0,김주안,201906
2015,2019-03-13 21:36:00,상품A,100.0,정도형,201903
2002,2019-05-07 14:29:00,상품A,100.0,김수호,201905
1977,2019-02-28 04:11:00,상품A,100.0,김서준,201902
1954,2019-01-19 03:37:00,상품A,100.0,김도훈,201901
1937,2019-02-13 07:28:00,상품A,100.0,김시환,201902
1902,2019-06-30 21:10:00,상품A,100.0,김태준,201906
1892,2019-07-31 01:32:00,상품A,100.0,김윤찬,201907
1863,2019-07-27 06:05:00,상품A,100.0,김재호,201907
295,2019-01-26 13:30:00,상품A,100.0,김지환,201901
300,2019-04-06 11:06:00,상품A,100.0,김태인,201904
1344,2019-04-24 03:12:00,상품A,100.0,정영훈,201904
1343,2019-03-09 19:11:00,상품A,100.0,김수민,201903
872,2019-05-16 02:34:00,상품A,100.0,김주안,201905
867,2019-03-20 02:16:00,상품A,100.0,김라온,201903
859,2019-07-22 11:53:00,상품A,100.0,김시훈,201907
411,2019-05-30 17:53:00,상품A,100.0,김승호,201905
844,2019-03-15 09:14:00,상품A,100.0,김강현,201903
838,2019-06-24 05:06:00,상품A,100.0,김시호,201906
817,2019-02-18 09:24:00,상품A,100.0,김주영,201902
803,2019-04-01 18:01:00,상품A,100.0,김시훈,201904
801,2019-02-11 22:59:00,상품A,100.0,김유찬,201902
728,2019-07-24 15:59:00,상품A,100.0,김태인,201907
706,2019-01-15 21:29:00,상품A,100.0,김예성,201901
700,2019-04-05 09:21:00,상품A,100.0,김우준,201904
696,2019-06-09 10:26:00,상품A,100.0,김유진,201906
678,2019-02-01 02:42:00,상품A,100.0,김시윤,201902
667,2019-03-16 17:23:00,상품A,100.0,김주원,201903
642,2019-04-15 12:39:00,상품A,100.0,김성빈,201904
634,2019-02-23 01:45:00,상품A,100.0,김지운,201902
612,2019-02-07 15:50:00,상품A,100.0,김은율,201902
602,2019-04-07 03:51:00,상품A,100.0,김성현,201904
577,2019-01-29 17:16:00,상품A,100.0,김하민,201901
568,2019-04-07 09:37:00,상품A,100.0,김가온,201904
473,2019-04-25 16:55:00,상품A,100.0,김지오,201904
485,2019-07-14 09:55:00,상품A,100.0,김재현,201907
877,2019-05-30 15:35:00,상품A,100.0,김동건,201905
2387,2019-03-09 22:29:00,상품A,100.0,김우진,201903
878,2019-05-17 12:32:00,상품A,100.0,김연호,201905
395,2019-05-24 10:19:00,상품A,100.0,김준성,201905
1340,2019-06-23 15:15:00,상품A,100.0,김상현,201906
1320,2019-06-18 01:55:00,상품A,100.0,김준영,201906
1288,2019-03-02 12:51:00,상품A,100.0,김지환,201903
1277,2019-05-05 13:12:00,상품A,100.0,김현우,201905
1273,2019-05-28 17:36:00,상품A,100.0,김영준,201905
1260,2019-01-15 22:59:00,상품A,100.0,김하진,201901
1228,2019-01-27 06:10:00,상품A,100.0,김재민,201901
1217,2019-01-28 17:04:00,상품A,100.0,김하율,201901
1214,2019-06-20 05:44:00,상품A,100.0,김윤성,201906
1189,2019-07-16 05:19:00,상품A,100.0,김현석,201907
1160,2019-01-18 04:12:00,상품A,100.0,김이준,201901
346,2019-02-09 18:52:00,상품A,100.0,김은혁,201902
347,2019-03-10 06:42:00,상품A,100.0,김태우,201903
1111,2019-02-28 20:29:00,상품A,100.0,김현수,201902
360,2019-05-02 01:45:00,상품A,100.0,김지호,201905
361,2019-01-21 03:33:00,상품A,100.0,김진우,201901
363,2019-07-26 03:56:00,상품A,100.0,김이안,201907
1053,2019-02-26 03:21:00,상품A,100.0,김현우,201902
1038,2019-04-01 17:58:00,상품A,100.0,김도하,201904
1036,2019-07-26 15:06:00,상품A,100.0,김연준,201907
1009,2019-06-12 10:08:00,상품A,100.0,김지용,201906
957,2019-07-19 14:12:00,상품A,100.0,김서윤,201907
952,2019-02-12 06:06:00,상품A,100.0,김태경,201902
900,2019-02-08 18:40:00,상품A,100.0,김재희,201902
2395,2019-06-21 00:01:00,상품A,100.0,김주호,201906
488,2019-07-14 17:32:00,상품A,100.0,김성윤,201907
2598,2019-01-11 11:34:00,상품A,100.0,김윤호,201901
35,2019-01-12 03:26:00,상품A,100.0,김건희,201901
2875,2019-06-03 17:33:00,상품A,100.0,김서진,201906
2669,2019-03-05 20:21:00,상품A,100.0,김주혁,201903
2682,2019-03-12 02:04:00,상품A,100.0,김서윤,201903
6,2019-05-18 19:16:00,상품A,100.0,김재준,201905
2849,2019-04-07 12:34:00,상품A,100.0,김예찬,201904
2743,2019-06-04 13:52:00,상품A,100.0,김강현,201906
2732,2019-01-28 22:13:00,상품A,100.0,김윤호,201901
31,2019-06-29 10:01:00,상품A,100.0,김하민,201906
